event_type_name;
Тематические вечеринки;
Киносъемки;
Кинопоказ;
Концерты;
Звукозапись;
Лекции, презентации;
Художественные выставки;
Бизнес-события;
IT-мероприятия;
Фестивали;
Ярмарки;
Спортивные мероприятия;
Показ мод;
Танцевальные шоу;
